  Year   Month  Anomaly  Unc.    Anomaly  Unc.    Anomaly  Unc.    Anomaly  Unc.    Anomaly  Unc.
 
  1750     1     0.125    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     2     0.157    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     3     0.065    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     4    -0.435    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     5    -0.233    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     6    -0.499    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     7     1.424    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     8     0.254    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750     9    -1.326    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750    10    -3.004    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750    11       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1750    12    -1.726    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     1    -0.458    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     2    -2.304    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     3     0.695    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     4    -0.714    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     5       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     6     0.442    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     7       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     8    -0.045    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751     9    -1.972    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751    10       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751    11       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1751    12       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     1    -2.927  3.127       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     2       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     3     0.858  2.453       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     4    -0.697  1.934       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     5       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     6       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     7       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     8       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752     9       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752    10    -1.613  1.692       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752    11     0.704  2.046       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1752    12     0.353  2.580       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1753     1    -1.137  4.344       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1753     2    -2.063  5.416       NaN    NaN       NaN    NaN       NaN    NaN       NaN    NaN
  1753     3     0.421  4.064    -0.207  0.823       NaN    NaN       NaN    NaN       NaN    NaN
  1753     4    -0.784  3.123    -0.114  0.813       NaN    NaN       NaN    NaN       NaN    NaN
  1753     5     0.236  1.996    -0.277  0.776       NaN    NaN       NaN    NaN       NaN    NaN
  1753     6     1.124  2.596    -0.652  1.102       NaN    NaN       NaN    NaN       NaN    NaN
  1753     7     0.545  2.246    -0.691  1.138       NaN    NaN       NaN    NaN       NaN    NaN
  1753     8    -0.697  2.989    -0.854  1.170       NaN    NaN       NaN    NaN       NaN    NaN
  1753     9     0.434  2.515    -0.992  1.155       NaN    NaN       NaN    NaN       NaN    NaN
  1753    10    -0.500  1.643    -0.690  0.975       NaN    NaN       NaN    NaN       NaN    NaN
  1753    11    -1.251  2.133    -0.708  1.055       NaN    NaN       NaN    NaN       NaN    NaN
  1753    12    -4.143  4.320    -0.726  1.058       NaN    NaN       NaN    NaN       NaN    NaN
  1754     1    -1.609  5.209    -0.758  1.095       NaN    NaN       NaN    NaN       NaN    NaN
  1754     2    -4.014  6.600    -0.810  1.166       NaN    NaN       NaN    NaN       NaN    NaN
  1754     3    -1.230  3.449    -0.995  1.205       NaN    NaN       NaN    NaN       NaN    NaN
  1754     4     2.832  1.836    -0.933  1.253       NaN    NaN       NaN    NaN       NaN    NaN
  1754     5     0.028  3.456    -0.868  1.302       NaN    NaN       NaN    NaN       NaN    NaN
  1754     6     0.905  2.797    -0.534  1.175       NaN    NaN       NaN    NaN       NaN    NaN
  1754     7     0.154  1.992    -0.586  1.280       NaN    NaN       NaN    NaN       NaN    NaN
  1754     8    -1.318  2.334    -0.481  1.351       NaN    NaN       NaN    NaN       NaN    NaN
  1754     9    -1.788  2.478    -0.481  1.293       NaN    NaN       NaN    NaN       NaN    NaN
  1754    10     0.241  1.829    -0.697  0.966       NaN    NaN       NaN    NaN       NaN    NaN
