Period,AMZN Revenue (Quarterly),EBAY Revenue (Quarterly),EXPE Revenue (Quarterly),FB Revenue (Quarterly),GRUB Revenue (Quarterly),LNKD Revenue (Quarterly),NFLX Revenue (Quarterly),PCLN Revenue (Quarterly),TRIP Revenue (Quarterly),TWTR Revenue (Quarterly),YELP Revenue (Quarterly),BIDU Revenue (Quarterly),FLWS Revenue (Quarterly),GOOG Revenue (Quarterly),NILE Revenue (Quarterly),OSTK Revenue (Quarterly),PETS Revenue (Quarterly),YNDX Revenue (Quarterly)
30/06/2015 00:00,23185,4379,1662.6,4042,87.955,711.735,1644.694,2280.397,405,502.383,133.913,2676.194933,228.291,17727,113.693,388.013,71.634,264.560379
31/03/2015 00:00,22717,4448,1373.397,3543,88.249,637.687,1573.129,1840.694,363,435.939,118.508,2044.320363,232.237,17258,106.447,398.344,49.994,197.05586
31/12/2014 00:00,29329,4921,1355.978,3851,73.313,643.432,1484.728,1840.097,288,479.078,109.887,2289.389352,534.275,18103,157.459,470.36,49.284,307.659593
30/09/2014 00:00,20579,4353,1712.504,3203,61.941,568.265,1409.432,2836.497,354,361.266,102.455,2196.532418,126.703,16523,105.76,352.991,57.576,360.994092
30/06/2014 00:00,19340,4103,1494.632,2910,60.006,533.877,1340.407,2123.575,323,312.166,88.787,1926.462708,187.369,15955,106.571,332.545,72.541,348.208233
31/03/2014 00:00,19741,4262,1200.371,2502,58.613,473.193,1270.089,1641.802,281,250.492,76.407,1559.700241,179.591,15420,103.726,341.207,48.632,311.643316
31/12/2013 00:00,25587,4530,1152.015,2586,49.024,447.219,1175.23,1541.153,213,242.675,70.651,1565.930861,266.337,15707,145.958,397.593,50.086,371.888303
30/09/2013 00:00,17092,3892,1401.86,2016,35.461,392.96,1105.999,2269.903,255,168.58,61.181,1453.969009,123.048,13754,98.925,301.426,60.479,312.02007
30/06/2013 00:00,15704,3877,1205.017,1813,26.857,363.661,1069.372,1680.238,247,139.292,55.023,1228.614388,172.963,13107,108.014,293.204,74.194,291.135457
31/03/2013 00:00,16070,3748,1012.367,1458,25.801,324.705,1023.961,1302.012,230,114.343,46.133,958.860867,191.582,12951,97.111,311.994,51.12,263.227888
31/12/2012 00:00,21268,3993,974.859,1585,,303.618,945.239,1190.64,169.393,112.247,41.157,1013.758188,251.36,14419,136.121,342.034,49.609,284.179262
30/09/2012 00:00,13806,3404,1199.02,1262,,252.028,905.089,1706.31,212.71,82.327,36.371,983.953791,119.592,13304,89.83,255.352,58.145,227.787859
30/06/2012 00:00,12834,3398,1039.98,1184,,228.207,889.163,1326.759,197.148,,32.653,862.21964,170.815,11807,90.981,239.536,68.955,219.469843
31/03/2012 00:00,13185,3277,816.488,1058,,188.456,869.791,1037.247,183.715,,27.385,675.925632,179.659,10645,83.103,262.367,55.924,194.751736
31/12/2011 00:00,17431,3380,787.133,1131,,167.741,875.575,990.771,137.798,,24.905,704.108798,239.845,10583,112.324,314.077,50.523,207.005931
30/09/2011 00:00,10876,2966,1020.45,954,,139.476,821.839,1452.804,180.801,,22.302,651.806233,117.198,9720,74.987,239.738,58.225,177.737571
30/06/2011 00:00,9913,2760,913.591,895,,121.04,788.61,1102.716,169.242,,19.578,525.725478,171.937,9026,80.522,234.992,73.578,162.39987
31/03/2011 00:00,9857,2546,727.835,731,,93.932,718.553,809.32,149.222,,16.5,370.690117,158.839,8575,80.18,265.47,50.91,133.134722
31/12/2010 00:00,12947,2495.076,493.906,,,81.696,595.922,731.314,,,15.274,,228.873,8440,114.779,348.87,45.118,134.431457
