Period,Revenue,Company
30/06/2015 00:00,23185,AMZN
31/03/2015 00:00,22717,AMZN
31/12/2014 00:00,29329,AMZN
30/09/2014 00:00,20579,AMZN
30/06/2014 00:00,19340,AMZN
31/03/2014 00:00,19741,AMZN
31/12/2013 00:00,25587,AMZN
30/09/2013 00:00,17092,AMZN
30/06/2013 00:00,15704,AMZN
31/03/2013 00:00,16070,AMZN
31/12/2012 00:00,21268,AMZN
30/09/2012 00:00,13806,AMZN
30/06/2012 00:00,12834,AMZN
31/03/2012 00:00,13185,AMZN
31/12/2011 00:00,17431,AMZN
30/09/2011 00:00,10876,AMZN
30/06/2011 00:00,9913,AMZN
31/03/2011 00:00,9857,AMZN
31/12/2010 00:00,12947,AMZN
30/09/2010 00:00,7560,AMZN
30/06/2010 00:00,6566,AMZN
31/03/2010 00:00,7131,AMZN
31/12/2009 00:00,9520,AMZN
30/09/2009 00:00,5449,AMZN
30/06/2009 00:00,4651,AMZN
31/03/2009 00:00,4889,AMZN
31/12/2008 00:00,6703,AMZN
30/09/2008 00:00,4264,AMZN
30/06/2008 00:00,4063,AMZN
31/03/2008 00:00,4135,AMZN
31/12/2007 00:00,5672,AMZN
30/09/2007 00:00,3262,AMZN
30/06/2007 00:00,2886,AMZN
31/03/2007 00:00,3015,AMZN
31/12/2006 00:00,3986,AMZN
30/09/2006 00:00,2307,AMZN
30/06/2006 00:00,2139,AMZN
31/03/2006 00:00,2279,AMZN
31/12/2005 00:00,2977,AMZN
30/09/2005 00:00,1858,AMZN
30/06/2005 00:00,1753,AMZN
31/03/2005 00:00,1902,AMZN
31/12/2004 00:00,2541,AMZN
30/09/2004 00:00,1463,AMZN
30/06/2004 00:00,1387,AMZN
31/03/2004 00:00,1530.349,AMZN
31/12/2003 00:00,1945.772,AMZN
30/09/2003 00:00,1134.456,AMZN
30/06/2003 00:00,1099.912,AMZN
31/03/2003 00:00,1083.559,AMZN
31/12/2002 00:00,1428.61,AMZN
30/09/2002 00:00,851.299,AMZN
30/06/2002 00:00,805.605,AMZN
31/03/2002 00:00,847.422,AMZN
31/12/2001 00:00,1115.171,AMZN
30/09/2001 00:00,639.281,AMZN
30/06/2001 00:00,667.625,AMZN
31/03/2001 00:00,700.356,AMZN
31/12/2000 00:00,972.36,AMZN
30/09/2000 00:00,637.858,AMZN
30/06/2000 00:00,577.876,AMZN
31/03/2000 00:00,573.889,AMZN
31/12/1999 00:00,676,AMZN
30/09/1999 00:00,355.8,AMZN
30/06/1999 00:00,314.377,AMZN
31/03/1999 00:00,293.643,AMZN
31/12/1998 00:00,252.8,AMZN
30/09/1998 00:00,153.6,AMZN
30/06/1998 00:00,116,AMZN
31/03/1998 00:00,87.4,AMZN
31/12/1997 00:00,66.1,AMZN
30/09/1997 00:00,37.9,AMZN
30/06/1997 00:00,27.9,AMZN
31/03/1997 00:00,16,AMZN
31/12/1996 00:00,8.4,AMZN
30/09/1996 00:00,4.2,AMZN
30/06/1996 00:00,2.2,AMZN
31/03/1996 00:00,0.9,AMZN
30/06/2015 00:00,4379,EBAY
31/03/2015 00:00,4448,EBAY
31/12/2014 00:00,4921,EBAY
30/09/2014 00:00,4353,EBAY
30/06/2014 00:00,4103,EBAY
31/03/2014 00:00,4262,EBAY
31/12/2013 00:00,4530,EBAY
30/09/2013 00:00,3892,EBAY
30/06/2013 00:00,3877,EBAY
31/03/2013 00:00,3748,EBAY
31/12/2012 00:00,3993,EBAY
30/09/2012 00:00,3404,EBAY
30/06/2012 00:00,3398,EBAY
31/03/2012 00:00,3277,EBAY
31/12/2011 00:00,3380,EBAY
30/09/2011 00:00,2966,EBAY
30/06/2011 00:00,2760,EBAY
31/03/2011 00:00,2546,EBAY
31/12/2010 00:00,2495.076,EBAY
30/09/2010 00:00,2249.488,EBAY
30/06/2010 00:00,2215.379,EBAY
31/03/2010 00:00,2196.057,EBAY
31/12/2009 00:00,2370.932,EBAY
30/09/2009 00:00,2237.852,EBAY
30/06/2009 00:00,2097.992,EBAY
